account,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,default_profile_image,has_extended_profile,bot
Exoriders,108,1,20,Tue Oct 08 02:56:40 +0000 2013,0,FALSE,19770,en,TRUE,FALSE,FALSE,1
onlymanthings,120,0,22,Tue May 06 05:26:03 +0000 2014,0,FALSE,5614,en,TRUE,FALSE,FALSE,1
maximotxx,0,330,0,2/3/2016 9:40,21,FALSE,29,en,TRUE,FALSE,FALSE,1
violajacobs2414,0,22,0,Fri Oct 07 18:02:11 +0000 2016,71,FALSE,100,en,TRUE,FALSE,FALSE,1
Lake5Media,15,19,0,5/20/2011 14:22,0,FALSE,19,en,FALSE,FALSE,FALSE,1
crystalliser,23,0,7,Mon Jul 20 18:46:55 +0000 2015,0,FALSE,63,en-gb,FALSE,FALSE,FALSE,1
SeethingVortex,127,180,6,10/18/2011 16:49,76087,FALSE,12702,en,FALSE,FALSE,TRUE,1
Horse_ebooks,175986,14914,1829,8/5/2010 7:18,1,FALSE,18839,en,TRUE,FALSE,FALSE,1
FMKVote,731,1,28,Wed Jan 22 23:34:33 +0000 2014,0,FALSE,2576,en,TRUE,FALSE,FALSE,1
biorxiv_evobio,182,0,6,6/29/2016 18:43,0,FALSE,433,en,TRUE,FALSE,FALSE,1
BoazimBot,123,0,35,Fri Sep 20 06:38:32 +0000 2013,0,FALSE,29410,en,TRUE,FALSE,FALSE,1
ClipArtBot,1287,1,116,Sun Sep 14 01:31:34 +0000 2014,0,FALSE,62797,en,TRUE,FALSE,FALSE,1
gotogyuterte,110,1797,0,Sun Jul 03 01:22:16 +0000 2016,12,FALSE,4,en,TRUE,FALSE,FALSE,1
libraryofvivec,9,0,6,Wed Nov 16 08:04:05 +0000 2016,0,FALSE,1412,en,FALSE,FALSE,TRUE,1
ItMeIRL,102437,3,500,Tue Oct 13 11:30:21 +0000 2015,0,FALSE,13953,en,FALSE,FALSE,FALSE,1
Rober4628,4,350,0,Thu Sep 22 20:55:28 +0000 2016,4,FALSE,6,en,TRUE,FALSE,,1
aura_mazon,1,44,0,Sun Jan 29 03:59:17 +0000 2017,66,FALSE,78,en,TRUE,FALSE,FALSE,1
"""MBPoGoAlert""",281,5,1,"""Fri May 30 02:51:13 +0000 2014""",1,FALSE,22739,"""en""",TRUE,FALSE,FALSE,1
tiny_star_field,104669,5438,979,Sun Jul 06 09:21:05 +0000 2014,385,FALSE,7897,en,FALSE,FALSE,FALSE,1
pentametron,23472,2,653,3/6/2012 1:10,120,FALSE,59327,en,TRUE,FALSE,FALSE,1
ArkhamSingles,43,1,13,Mon Feb 24 12:51:17 +0000 2014,4,FALSE,26955,ja,TRUE,FALSE,FALSE,1
NYC_Newswire,11,74,0,12/19/2016 15:20,0,FALSE,1,en,TRUE,FALSE,FALSE,1
"""VegasPokeMap""",928,0,20,"""Fri Dec 23 05:32:58 +0000 2016""",0,FALSE,71773,"""en""",TRUE,FALSE,FALSE,1
literaldevices,63,2,15,Wed Sep 17 15:45:20 +0000 2014,1,FALSE,2672,en,TRUE,FALSE,FALSE,1
emojicheer,71,2,14,Mon Jun 23 11:14:16 +0000 2014,1,FALSE,644,en,TRUE,FALSE,FALSE,1
EuphemismBot,131,2,27,Fri Feb 28 15:34:08 +0000 2014,0,FALSE,4499,en,TRUE,FALSE,FALSE,1
NK_papers,171,4,13,3/2/2014 20:34,1,FALSE,8808,en,FALSE,FALSE,FALSE,1
oliviataters,6859,5458,279,Tue Nov 26 19:50:33 +0000 2013,73498,FALSE,46537,en,TRUE,FALSE,FALSE,1
QuantomBot,3730,21,5204,Tue Aug 23 11:46:01 +0000 2016,155,FALSE,306026,en,FALSE,FALSE,FALSE,1
zatieot,4,244,0,1/25/2017 17:22,10,FALSE,17,en,TRUE,FALSE,FALSE,1
ADigginsSDN,277,4887,5,2/14/2017 16:13,1,FALSE,41,en,TRUE,FALSE,FALSE,1
FreeFlattery,31,23,4,Thu Nov 21 21:30:57 +0000 2013,2,FALSE,170,en,TRUE,FALSE,FALSE,1
everyboolean,1078,0,23,Tue Dec 17 15:49:28 +0000 2013,0,FALSE,2,en,FALSE,FALSE,FALSE,1
bxv_molbiol,8,0,1,6/8/2016 23:25,0,FALSE,123,en-gb,TRUE,FALSE,TRUE,1
ColBertStephens,14,3,7,Sun Oct 20 01:26:02 +0000 2013,0,FALSE,13752,en,TRUE,FALSE,FALSE,1
scillaria,9978,10829,9,7/4/2016 7:09,681,FALSE,862,en,TRUE,FALSE,TRUE,1
MoskowitzMooney,0,32,0,Sat Nov 12 23:12:41 +0000 2016,69,FALSE,93,en,TRUE,FALSE,FALSE,1
threedesert,204,1,34,Mon Mar 14 02:30:11 +0000 2016,0,FALSE,7491,en,FALSE,FALSE,FALSE,1
IFClueBot,20,9,2,8/8/2015 17:19,0,FALSE,2311,en,TRUE,FALSE,FALSE,1
dejiwall,109,153,0,10/23/2010 10:21,25,FALSE,24,en,TRUE,FALSE,TRUE,1
"""PokemonGONewsUS""",539,10,36,"""Thu Jul 14 11:09:43 +0000 2016""",5,FALSE,212479,"""en""",TRUE,FALSE,FALSE,1
ManoelaBeta7,227,292,0,3/13/2017 23:18,0,FALSE,12,pt,TRUE,TRUE,FALSE,1
TahoeChains,105,4,4,Wed Jan 11 20:31:15 +0000 2017,0,FALSE,1571,en,FALSE,FALSE,FALSE,1
Every3Minutes,1022,0,96,11/14/2014 23:21,0,FALSE,403392,en,FALSE,FALSE,FALSE,1
Anuroopjr,33,1526,0,Wed May 16 13:04:34 +0000 2012,1,FALSE,1,en,TRUE,FALSE,FALSE,1
ursulaflanagan,4,19,0,Thu Aug 11 01:34:53 +0000 2011,0,FALSE,0,en,TRUE,TRUE,,1
jowueob20,1,342,0,2/2/2016 22:44,41,FALSE,43,en,TRUE,FALSE,FALSE,1
quitoehck27,0,310,0,2/2/2016 15:19,17,FALSE,27,en,TRUE,FALSE,FALSE,1
HAroldbtmeme28,1,420,0,10/26/2016 23:15,88,FALSE,80,en,TRUE,FALSE,FALSE,1
katharyns25,0,346,0,2/3/2016 18:09,14,FALSE,28,en,TRUE,FALSE,FALSE,1
hakusongs,23,0,10,Fri Oct 03 00:21:37 +0000 2014,0,FALSE,376,en,FALSE,FALSE,FALSE,1
thewillthewisp,254,16,31,Fri Jun 12 15:30:03 +0000 2015,43,FALSE,13695,en,FALSE,FALSE,FALSE,1
living_newyork,20,9,4,Sat Feb 15 20:59:32 +0000 2014,0,FALSE,445,en,TRUE,FALSE,FALSE,1
soamazingquote,516,0,27,Mon Feb 16 18:47:23 +0000 2015,0,FALSE,4145,en,TRUE,FALSE,FALSE,1
loriwcute,5,464,0,10/15/2016 4:45,78,FALSE,88,en,TRUE,FALSE,FALSE,1
trinityadam,447990,487927,4233,2/23/2011 18:54,4055,FALSE,107503,en,FALSE,FALSE,FALSE,1
regurol1994,1,338,0,2/2/2016 5:43,26,FALSE,30,en,TRUE,FALSE,FALSE,1
Cardinal_Fang,255,1,28,12/17/2008 19:44,0,FALSE,12821,en,TRUE,FALSE,FALSE,1
RACQUELW86,16,1862,0,1/1/2015 23:46,285,FALSE,392,en,FALSE,FALSE,FALSE,1
plzrevisit,268,99,56,Tue Sep 30 21:27:53 +0000 2014,0,FALSE,5099,en,TRUE,FALSE,FALSE,1
dailymoist,742,38,27,Sun Sep 27 19:29:18 +0000 2015,3,FALSE,367778,en,TRUE,FALSE,FALSE,1
killcodes,61,31,14,Wed Sep 25 23:36:41 +0000 2013,0,FALSE,627,en,TRUE,FALSE,FALSE,1
_emo_ji,105,1,13,Fri Dec 25 10:47:49 +0000 2015,9,FALSE,570,en,FALSE,FALSE,TRUE,1
SadisticMedic_,26,35,7,Mon Mar 24 08:57:10 +0000 2014,9,FALSE,9117,en,FALSE,FALSE,FALSE,1
prix_fixe_exe,13,1,2,Sun Mar 27 14:37:42 +0000 2016,0,FALSE,1035,en,FALSE,FALSE,FALSE,1
evoldir,7724,22,186,1/17/2009 12:39,9,FALSE,16682,en,TRUE,FALSE,FALSE,1
_grammar_,38413,2,438,6/25/2012 16:06,2722,FALSE,146227,en,FALSE,FALSE,FALSE,1
itsavailable,124,158,10,Wed Aug 07 07:05:06 +0000 2013,55,FALSE,3597,en,FALSE,FALSE,FALSE,1
everyletterbot,142,14,12,Tue Dec 17 15:36:02 +0000 2013,0,FALSE,26,en-gb,TRUE,FALSE,FALSE,1
PressXToBot,434,0,41,Mon Nov 03 15:41:20 +0000 2014,0,FALSE,3033,en,FALSE,FALSE,FALSE,1
julissaf93,9,462,0,10/29/2016 22:46,84,FALSE,72,en,TRUE,FALSE,FALSE,1
IFinspiration,44,0,5,7/17/2015 4:56,5,FALSE,1220,en,TRUE,TRUE,FALSE,1
taehyungirl30,505,3673,0,Tue Jan 26 03:10:33 +0000 2016,745,FALSE,595,en,TRUE,FALSE,FALSE,1
MagicRealismBot,67078,0,940,9/27/2015 7:19,0,FALSE,12064,en,FALSE,FALSE,FALSE,1
"""EpicSGPokemon""",19048,2,135,"""Sat Aug 13 17:01:14 +0000 2016""",7,FALSE,220592,"""en""",TRUE,FALSE,FALSE,1
pops131,69508,70633,441,4/25/2009 23:59,109,FALSE,423314,en,FALSE,FALSE,TRUE,1
ScottalenLeeRo1,0,100,0,Sun Mar 12 01:07:15 +0000 2017,0,FALSE,0,en,TRUE,TRUE,,1
face_withface,30,0,11,Sun Nov 23 04:28:44 +0000 2014,0,FALSE,1560,en,TRUE,FALSE,FALSE,1
lvnt2000,1,116,0,13/03/2017 22:51,0,FALSE,1,en,TRUE,TRUE,FALSE,1
McdanielArmijo,0,34,0,Wed Jan 25 10:59:05 +0000 2017,37,FALSE,61,en,TRUE,FALSE,FALSE,1
all_in_cards,261,1,46,Tue Jul 14 22:01:21 +0000 2015,1,FALSE,4776,en,FALSE,FALSE,FALSE,1
autocompletejok,1058,1,83,7/9/2015 3:24,0,FALSE,7678,en,TRUE,FALSE,FALSE,1
FalalalaBot,15,1,7,Tue Dec 24 14:59:14 +0000 2013,2,FALSE,75,en,TRUE,FALSE,FALSE,1
msxs_2016,14,0,7,Wed Oct 16 17:45:46 +0000 2013,2,FALSE,3422,en,FALSE,FALSE,FALSE,1
harmonsway1013,2,106,0,Wed Jun 01 22:12:36 +0000 2016,0,FALSE,1,en,TRUE,TRUE,,1
CTCF_Papers,344,24,8,1/31/2016 14:15,1,FALSE,161,en,TRUE,FALSE,FALSE,1
2noob2btrue,78,221,0,12/29/2013 7:11,261,FALSE,1953,en,FALSE,FALSE,FALSE,1
virus_genome,21,19,3,4/3/2012 22:25,0,FALSE,1160,en,TRUE,FALSE,FALSE,1
fitzpatrickmen4,12,33,0,Wed Feb 08 06:42:50 +0000 2017,47,FALSE,65,en,TRUE,FALSE,FALSE,1
MetaphorMagnet,669,7,162,Sat Apr 05 13:42:18 +0000 2014,9396,FALSE,21522,en,FALSE,FALSE,FALSE,1
imtherealdontai,0,34,0,Sun Mar 12 01:08:46 +0000 2017,0,FALSE,0,en,TRUE,TRUE,,1
everygothcolor,324,0,23,Fri Nov 28 14:33:35 +0000 2014,0,FALSE,6664,en-gb,FALSE,FALSE,FALSE,1
lillyb121,283,443,1,Tue May 10 22:01:46 +0000 2016,4021,FALSE,2864,en,TRUE,TRUE,FALSE,1
best_tv_recaps,95,3,0,Fri Aug 21 15:52:57 +0000 2015,0,FALSE,2464,en,FALSE,FALSE,FALSE,1
Nucleosome_Bot,571,15,19,8/30/2015 14:31,1,FALSE,1181,en,TRUE,FALSE,FALSE,1
KathlenelTloi,20,1827,0,1/1/2015 16:51,312,FALSE,387,en,FALSE,FALSE,FALSE,1
NArcisal20,3,523,0,10/24/2016 3:39,87,FALSE,113,en,TRUE,FALSE,FALSE,1
PentatonicBot,16,25,3,9/15/2016 17:51,1,FALSE,150,en,FALSE,FALSE,TRUE,1
biorxiv_micrbio,782,0,14,7/1/2016 15:58,0,FALSE,276,en,TRUE,FALSE,FALSE,1
crossword_regex,6,0,4,Sun Nov 13 21:48:47 +0000 2016,0,FALSE,241,en,FALSE,FALSE,TRUE,1
think_i_do,187,1,36,Mon Jun 15 06:10:50 +0000 2015,1,FALSE,10881,en,FALSE,FALSE,FALSE,1
wowwwrude,659,806,19,Tue Aug 05 03:20:58 +0000 2014,1,FALSE,9565,en,TRUE,FALSE,FALSE,1
angrystepparent,9,89,0,12/28/2016 2:18,0,FALSE,4,en,TRUE,TRUE,FALSE,1
TavernOfMirth,40,0,14,Sun Mar 06 16:01:12 +0000 2016,0,FALSE,884,en,TRUE,FALSE,FALSE,1
voasekuck87,2,350,0,1/31/2016 10:21,32,FALSE,34,en,TRUE,FALSE,FALSE,1
hihiCherylsC,1,365,0,1/30/2016 21:26,29,FALSE,25,en,TRUE,FALSE,FALSE,1
everywordcup,160,3,17,Sat Jun 07 21:35:13 +0000 2014,1,FALSE,4080,en,TRUE,FALSE,FALSE,1
tcellbiology,972,43,24,9/7/2011 16:19,253,FALSE,7460,en,FALSE,FALSE,FALSE,1
JargonTron,34,22,9,Tue Apr 08 03:11:45 +0000 2014,0,FALSE,19078,en,TRUE,FALSE,FALSE,1
MuscleStemCell,176,5,16,9/3/2014 17:12,0,FALSE,5685,en,TRUE,FALSE,FALSE,1
botechre,156,1,19,Wed Aug 20 12:04:26 +0000 2014,0,FALSE,22280,en-gb,FALSE,FALSE,FALSE,1
sjuworkerr,736,3482,4,9/30/2016 15:53,22,FALSE,681,en,TRUE,FALSE,FALSE,1
MIlissawhihix,2,323,0,2/4/2016 10:18,40,FALSE,34,en,TRUE,FALSE,FALSE,1
biorxiv_biophys,76,0,4,7/1/2016 17:39,0,FALSE,183,en,TRUE,FALSE,FALSE,1
"""Bedr0ckLearning""",970,1642,15,"""Tue May 05 01:12:02 +0000 2015""",145,FALSE,976,"""en""",FALSE,FALSE,FALSE,1
AwfulEmoji,32,0,10,Fri Nov 04 12:14:27 +0000 2016,0,FALSE,1038,en,FALSE,FALSE,FALSE,1
twoemoji,762,317,29,Wed Dec 10 04:03:02 +0000 2014,293,FALSE,40206,en,FALSE,FALSE,FALSE,1
everynerd,231,0,15,Sat Jun 07 19:47:14 +0000 2014,0,FALSE,622,en,TRUE,FALSE,FALSE,1
vuguiwi1991,7,664,1,9/9/2016 4:02,157,FALSE,187,en,TRUE,FALSE,FALSE,1
TumorImm_papers,531,1,44,10/14/2014 15:46,0,FALSE,25992,en,TRUE,FALSE,FALSE,1
donalddrumpfbot,23,0,1,Thu Mar 10 18:30:17 +0000 2016,2,FALSE,99,en,TRUE,FALSE,FALSE,1
janine_baradi,3,49,0,12/3/2017 14:48,4,FALSE,1,en,TRUE,TRUE,FALSE,1
attribot,139,7,6,Thu Jun 04 11:34:29 +0000 2015,3,FALSE,497,en,FALSE,FALSE,FALSE,1
baaldraavers,66,601,2,Thu Mar 12 17:49:01 +0000 2015,25,FALSE,1697,en,FALSE,FALSE,FALSE,1
MOF_papers,693,386,14,4/24/2014 14:03,18,FALSE,3271,en,TRUE,FALSE,FALSE,1
"""kateware9733""",3,57,0,"""Fri Mar 10 23:29:28 +0000 2017""",0,FALSE,1,"""en""",TRUE,FALSE,FALSE,1
Anthonyswag18,0,60,0,Sun Mar 12 01:10:01 +0000 2017,0,FALSE,0,en,TRUE,TRUE,,1
poll_test,55,1,8,3/13/2012 18:37,0,FALSE,1841755,en,TRUE,FALSE,FALSE,1
zorak_ebooks,64,32,8,Tue Jul 01 04:25:33 +0000 2014,2,FALSE,4269,en,TRUE,FALSE,FALSE,1
Bot_Nohomo,102,2,3,Tue Dec 15 15:53:07 +0000 2015,0,FALSE,51833,de,TRUE,FALSE,FALSE,1
JeseniaT16,0,290,0,11/26/2016 0:40,30,FALSE,35,en,TRUE,FALSE,FALSE,1
Kozzzy24,1214,2573,30,12/8/2014 10:32,967,FALSE,415,en-gb,FALSE,FALSE,FALSE,1
riverlevel_1867,18,3,4,6/10/2014 12:19,0,FALSE,1817,en,TRUE,FALSE,FALSE,1
re3makes,255,5,8,Fri Jun 12 01:45:41 +0000 2015,0,FALSE,288,en,FALSE,FALSE,FALSE,1
SpellerBot,72,0,20,Wed Jul 02 17:09:09 +0000 2014,0,FALSE,2233,en,TRUE,FALSE,FALSE,1
BletchleyRoll,253,57,18,Thu Jan 22 08:02:22 +0000 2015,9,FALSE,36435,en,TRUE,FALSE,FALSE,1
fastsamueldwrig,0,346,0,2/1/2016 15:06,30,FALSE,39,en,TRUE,FALSE,FALSE,1
RootPapers,244,0,21,3/23/2014 13:55,0,FALSE,14990,en,TRUE,FALSE,FALSE,1
weatherlies_bot,20,1,6,Wed Nov 16 05:19:43 +0000 2016,0,FALSE,1578,en,FALSE,FALSE,FALSE,1
Victoriaavell11,0,68,0,13/03/2017 22:51,0,FALSE,1,en,TRUE,FALSE,TRUE,1
DJ_EBOOKS,1929,2753,28,Fri Jun 13 00:45:47 +0000 2014,1843,FALSE,10337,en,FALSE,FALSE,FALSE,1
Popgen_Papers,660,0,23,5/28/2014 5:28,0,FALSE,4773,en,TRUE,FALSE,FALSE,1
AskAndAnswerBot,358,1,15,Fri Oct 18 13:34:58 +0000 2013,1,FALSE,42988,en,TRUE,FALSE,FALSE,1
jakeuip27,1,259,0,1/27/2017 9:53,14,FALSE,33,en,TRUE,FALSE,FALSE,1
tylerstacos_,25,897,0,Mon Jan 30 23:39:15 +0000 2017,38,FALSE,20,en,TRUE,TRUE,FALSE,1
"""2UvyAyaFb5jpLby""",2,97,0,"""Fri Mar 10 22:57:26 +0000 2017""",0,FALSE,0,"""en""",TRUE,TRUE,FALSE,1
Botgle,1056,1576,76,Tue May 26 15:02:31 +0000 2015,55901,FALSE,87824,en,TRUE,FALSE,FALSE,1
hotelbotai,17504,0,62,Tue Jul 09 22:53:35 +0000 2013,0,FALSE,27782,en,FALSE,FALSE,FALSE,1
TysonFosterz,12,2034,0,1/1/2015 12:36,333,FALSE,476,en,FALSE,FALSE,FALSE,1
AutoVids,68,1,15,Sat Oct 26 21:31:40 +0000 2013,1,FALSE,401,en,TRUE,FALSE,FALSE,1
ParrotFlaubert,12,0,6,Tue Nov 26 14:36:32 +0000 2013,0,FALSE,156,en,TRUE,FALSE,FALSE,1
bidoof_bot,6027,0,36,Fri Oct 01 03:03:54 +0000 2010,2,FALSE,116980,en,FALSE,FALSE,FALSE,1
butt_things,3947,4728,94,Sat May 24 04:02:55 +0000 2014,70947,FALSE,91770,en,FALSE,FALSE,FALSE,1
moajaqind1982,25,1935,0,12/31/2014 18:53,267,FALSE,368,en,FALSE,FALSE,FALSE,1
riuleew83,3,519,0,10/24/2016 1:08,97,FALSE,107,en,TRUE,FALSE,FALSE,1
preprints_metab,3,6,1,4/18/2015 20:25,16,FALSE,17,en,TRUE,TRUE,FALSE,1
valid9tion,560,0,17,3/11/2016 15:56,0,FALSE,17873,en-gb,FALSE,FALSE,FALSE,1
litts_mccarlie,0,30,0,Sun Feb 12 03:33:51 +0000 2017,39,FALSE,60,en,TRUE,FALSE,FALSE,1
SunsetGenerator,12,1,2,12/16/2016 12:23,0,FALSE,692,en,TRUE,FALSE,FALSE,1
peawme,4,259,0,1/23/2017 8:57,12,FALSE,12,en,TRUE,FALSE,FALSE,1
Jacktheboss434,0,100,0,Sun Mar 12 01:04:58 +0000 2017,0,FALSE,0,en,TRUE,TRUE,,1
bangbangarix12,17,500,0,Thu May 26 13:07:28 +0000 2016,1,FALSE,4,en,TRUE,FALSE,FALSE,1
buzarun,49,1537,0,Fri Aug 17 17:10:38 +0000 2012,0,FALSE,1,en,TRUE,FALSE,FALSE,1
DPLAbot,638,60,0,Tue Jul 02 03:30:48 +0000 2013,1,FALSE,4647,en,TRUE,FALSE,FALSE,1
i_akari_daisuki,21172,20058,162,Sun Jan 26 23:18:31 +0000 2014,0,FALSE,80502,en,TRUE,FALSE,FALSE,1
wowwwiftrue,547,650,15,Sun Sep 21 12:05:32 +0000 2014,1,FALSE,6857,en,TRUE,FALSE,FALSE,1
gloster_tilda,0,34,0,Sun Feb 05 08:54:59 +0000 2017,55,FALSE,71,en,TRUE,FALSE,FALSE,1
buoypix,116,1,14,10/14/2015 15:56,1,FALSE,1031,en,FALSE,FALSE,FALSE,1
