account,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,default_profile,default_profile_image,bot,account_age_seconds,diversity,mean_tweet_length
FreeFlattery,30,23,5,2,False,170,True,False,1,168489837.0,0.3,97.65
everyboolean,1178,0,45,1,False,2,False,False,1,166263927.0,1.0,4.5
bxv_molbiol,120,0,9,0,False,1211,True,False,1,88134584.0,0.29,126.53
ColBertStephens,14,3,8,0,False,13752,True,False,1,171330535.0,0.46,55.23
scillaria,8416,10197,8,694,False,883,True,False,1,85946724.0,0.6,62.47
MoskowitzMooney,0,0,0,64,False,103,True,False,1,74566939.0,0.33,118.4
threedesert,233,1,52,0,False,28727,False,False,1,95636691.0,0.75,25.77
IFClueBot,27,11,3,0,False,5255,True,False,1,114508519.0,0.37,96.63
dejiwall,109,208,0,243,False,48,True,False,1,265733612.0,0.43,87.37
TahoeChains,588,4,32,0,False,6752,False,False,1,69392631.0,0.58,42.88
Every3Minutes,1373,0,114,0,False,748595,False,False,1,137552012.0,0.34,89.83
Anuroopjr,32,0,0,1,False,1,True,False,1,216389433.0,0.31,113.0
hakusongs,20,0,12,0,False,376,False,False,1,141267213.0,0.37,76.97
thewillthewisp,240,15,34,43,False,21576,False,False,1,119439909.0,0.55,28.84
living_newyork,19,9,5,0,False,409,True,False,1,161061341.0,0.32,110.47
soamazingquote,568,0,30,1,False,4400,True,False,1,129446871.0,0.42,88.21
Cardinal_Fang,232,1,29,0,False,12821,True,False,1,324016227.0,0.49,54.65
plzrevisit,254,91,56,0,False,5099,True,False,1,141450445.0,0.68,35.77
dailymoist,640,170,23,6,False,369199,True,False,1,110180761.0,1.0,5.31
killcodes,56,31,14,0,False,626,True,False,1,173410719.0,0.97,139.87
_emo_ji,95,1,17,6,False,994,False,False,1,102518853.0,0.55,73.14
SadisticMedic_,23,34,7,9,False,16857,False,False,1,157907893.0,0.36,82.11
prix_fixe_exe,13,1,4,0,False,3308,False,False,1,94473462.0,0.22,132.01
evoldir,11130,23,193,9,False,21222,True,False,1,321363371.0,0.48,69.28
_grammar_,45367,2,507,2581,False,228836,False,False,1,212922527.0,0.23,152.43
itsavailable,119,147,12,50,False,13682,False,False,1,177703821.0,0.61,45.65
everyletterbot,295,14,14,0,False,26,True,False,1,166264766.0,0.89,2.08
PressXToBot,341,0,37,0,False,3033,False,False,1,138530049.0,0.49,37.25
julissaf93,13,939,0,101,False,154,True,False,1,75781752.0,0.32,125.12
IFinspiration,54,0,4,5,False,2684,True,True,1,116453932.0,0.39,60.17
MagicRealismBot,109272,0,1589,0,False,16755,False,False,1,110224577.0,0.32,74.26
pops131,74037,75726,541,375,False,590116,False,False,1,312858978.0,0.36,106.0
face_withface,44,0,13,0,False,1560,True,False,1,136842413.0,0.62,43.54
lvnt2000,3,157,0,168,False,196,True,True,1,64113832.0,0.3,127.65
McdanielArmijo,0,0,0,46,False,90,True,False,1,68217395.0,0.35,113.7
all_in_cards,331,1,64,2,False,12357,False,False,1,116651661.0,0.5,57.83
autocompletejok,1041,1,101,0,False,12565,True,False,1,117150702.0,0.29,76.39
FalalalaBot,16,1,8,2,False,75,True,False,1,165662190.0,0.34,71.6
msxs_2016,14,0,8,1,False,3422,False,False,1,171617399.0,0.53,42.07
harmonsway1013,4,99,0,0,False,1,True,True,1,88743790.0,0.54,57.0
CTCF_Papers,1510,26,25,12,False,543,True,False,1,99309625.0,0.3,121.86
2noob2btrue,61,211,0,390,False,2571,False,False,1,165258266.0,0.31,112.25
virus_genome,122,21,4,0,False,4217,True,False,1,220071032.0,0.27,151.97
MetaphorMagnet,748,14,157,9744,False,37297,False,False,1,156857613.0,0.26,93.88
imtherealdontai,82,477,0,277,False,669,True,True,1,64278426.0,0.54,78.04
everygothcolor,378,0,27,0,False,12581,False,False,1,136374138.0,0.72,31.0
best_tv_recaps,94,3,15,0,False,2464,False,False,1,113390578.0,0.5,58.23
Nucleosome_Bot,2060,22,40,7,False,2789,True,False,1,112617882.0,0.3,122.38
NArcisal20,11,994,0,116,False,144,True,False,1,76282596.0,0.33,123.32
PentatonicBot,21,28,3,1,False,150,False,False,1,79601083.0,0.35,60.42
biorxiv_micrbio,3592,0,44,0,False,3308,True,False,1,86174271.0,0.26,147.47
crossword_regex,15,0,6,0,False,1718,False,False,1,74485634.0,0.57,52.63
think_i_do,179,1,36,1,False,11093,False,False,1,119214313.0,0.76,23.0
wowwwrude,568,723,23,1,False,9565,True,False,1,146354106.0,0.71,20.44
angrystepparent,8,86,0,0,False,4,True,True,1,70667835.0,0.38,77.25
TavernOfMirth,32,0,15,0,False,908,True,False,1,96279294.0,0.24,129.12
everywordcup,214,3,23,1,False,7031,True,False,1,151386055.0,0.58,48.63
JargonTron,32,22,10,0,False,19078,True,False,1,156636265.0,0.36,76.6
MuscleStemCell,421,5,16,0,False,9196,True,False,1,143798623.0,0.3,124.14
botechre,251,1,24,0,False,39238,False,False,1,145026706.0,0.87,9.36
biorxiv_biophys,987,0,15,0,False,1776,True,False,1,86168176.0,0.29,133.4
AwfulEmoji,34,0,23,0,False,6930,False,False,1,75297709.0,0.76,23.0
twoemoji,905,347,43,299,False,64419,False,False,1,135375195.0,1.0,2.13
everynerd,205,0,15,0,False,622,True,False,1,151392544.0,0.6,27.21
TumorImm_papers,944,1,52,0,False,33862,True,False,1,140261374.0,0.29,130.46
donalddrumpfbot,17,0,1,2,False,99,True,False,1,95924764.0,0.26,119.66
janine_baradi,1,49,0,0,False,1,True,True,1,64229269.0,0.8,20.0
baaldraavers,105,144,1,956,False,3003,False,False,1,127376842.0,0.44,54.9
MOF_papers,2243,1296,27,447,False,7515,True,False,1,155214752.0,0.29,149.94
poll_test,49,1,16,0,False,2863706,True,False,1,221895537.0,0.58,26.32
zorak_ebooks,80,29,9,0,False,5556,True,False,1,149374255.0,0.51,43.08
Bot_Nohomo,89,2,5,0,False,51833,True,False,1,103364602.0,0.7,30.0
Kozzzy24,1066,2522,33,953,False,594,False,False,1,135524633.0,0.34,115.21
riverlevel_1867,19,3,5,0,False,3058,True,False,1,151160199.0,0.46,75.5
re3makes,251,5,10,1,False,565,False,False,1,119489453.0,0.3,122.5
SpellerBot,65,0,22,0,False,2233,True,False,1,149242046.0,0.52,35.59
BletchleyRoll,388,56,23,9,False,72377,True,False,1,131645654.0,0.41,80.94
RootPapers,347,0,24,0,False,20638,True,False,1,157976453.0,0.25,149.64
weatherlies_bot,88,1,17,0,False,14031,False,False,1,74285816.0,0.49,50.28
Victoriaavell11,2,75,0,3,False,7,True,False,1,64113925.0,0.48,79.17
DJ_EBOOKS,1430,2339,26,1725,False,10337,False,False,1,150942654.0,0.44,78.39
Popgen_Papers,1348,0,29,0,False,8201,True,False,1,152308111.0,0.27,131.01
AskAndAnswerBot,479,1,18,0,False,63735,True,False,1,171459706.0,0.49,60.76
Botgle,2800,4138,86,92563,False,141273,True,False,1,120910455.0,0.62,39.16
hotelbotai,0,0,0,0,False,1,False,False,1,61683888.0,0.31,134.0
AutoVids,67,1,20,1,False,401,True,False,1,170739909.0,0.71,30.38
ParrotFlaubert,12,0,8,0,False,156,True,False,1,168082818.0,0.76,17.96
bidoof_bot,7595,0,41,3,False,141162,False,False,1,267660778.0,0.43,37.16
butt_things,5003,5522,124,76752,False,116478,False,False,1,152658838.0,0.75,13.28
preprints_metab,9,6,1,16,False,29,True,True,1,124174298.0,0.3,121.55
valid9tion,1124,0,36,0,False,53360,False,False,1,95847605.0,0.42,51.22
litts_mccarlie,1,0,0,43,False,81,True,False,1,66688986.0,0.32,118.03
SunsetGenerator,31,1,9,0,False,6585,True,False,1,71668401.0,0.76,23.0
Jacktheboss434,8,179,0,1,False,2,True,True,1,64278722.0,0.51,44.5
buzarun,41,1453,0,0,False,1,True,False,1,208339583.0,0.37,97.0
DPLAbot,773,59,74,1,False,7750,True,False,1,180827174.0,0.47,81.61
i_akari_daisuki,16813,17191,147,0,False,88664,True,False,1,162781112.0,0.61,59.66
wowwwiftrue,453,572,13,1,False,6857,True,False,1,142261893.0,0.68,23.66
gloster_tilda,1,32,0,56,False,85,True,False,1,67274527.0,0.31,121.56
buoypix,191,1,23,1,False,4581,False,False,1,108724814.0,0.44,81.38
MusicmakerBot,231,3,23,0,False,7604,True,False,1,96816021.0,0.31,62.42
erowidrecruiter,12264,0,272,28,False,631,False,False,1,131077901.0,0.35,75.17
TVCommentBot,2789,527,208,7599,False,136415,True,False,1,131235652.0,0.3,112.14
arXiv_grqc,262,2,24,0,False,37615,True,True,1,172179240.0,0.37,128.14
allnothings,339,2,47,0,False,26882,True,False,1,137904993.0,0.38,59.34
pkmn_bonsai,25,0,14,0,False,10408,False,False,1,75354077.0,0.76,23.0
memcached_magic,39,1,12,0,False,4402,True,False,1,159021806.0,0.34,68.55
PriceOfDogecoin,1630,8,50,54,False,27851,True,False,1,165950896.0,0.32,118.64
chicknolapowell,7,803,0,79,False,70,True,False,1,68653589.0,0.32,124.73
meua_lee,0,0,0,45,False,72,True,False,1,68160165.0,0.35,110.16
a_travel_bot,203,0,96,0,False,7016,True,False,1,126496601.0,0.29,103.78
selfportraitexe,60,0,19,0,False,909,True,False,1,78387735.0,0.76,23.0
TermsofSbot,156,329,25,19,False,14054,True,False,1,123802563.0,0.21,113.76
pseudo_papers,837,35,39,0,False,17607,False,False,1,143727936.0,0.26,146.41
lncRNA_papers,734,10,29,1,False,5952,True,False,1,113987702.0,0.27,155.16
Now_Boobs,312,307,10,4,False,5560,False,False,1,72095861.0,0.27,138.09
snailsnake,307,2,38,2,False,24088,False,False,1,123674152.0,0.36,55.25
duane_persaud,2,12,0,204,False,1,True,True,1,83044542.0,0.25,137.0
ValentinoBot,965,8,5,0,False,42303,True,False,1,103356924.0,0.5,53.13
relations_js,118,0,30,0,False,75,False,False,1,143955038.0,0.39,50.56
bandname_exe,127,0,20,0,False,15279,False,False,1,148999946.0,0.68,19.34
LoremipsumBot,49,1,16,0,False,22827,True,False,1,82549700.0,0.24,88.38
genie_nelson,4,54,0,0,False,2,False,False,1,114749268.0,0.53,59.0
ManyJams,138,1,22,0,False,9686,True,False,1,157851675.0,0.42,41.8
katheyp27,6,701,0,60,False,69,True,False,1,68413973.0,0.31,128.25
mozerablebot,39,1,16,0,False,4028,False,False,1,138103114.0,0.28,90.08
LitOffLanterns,10,92,0,23,False,35,True,False,1,64113519.0,0.52,67.63
oiledits,1145,81,50,21,False,614,False,False,1,147933739.0,0.39,87.83
GrantsBotGov,457,5,3,0,False,1179,True,False,1,81672705.0,0.41,94.58
mcgucket_bot,1250,7,6,0,False,57873,False,False,1,108441733.0,0.44,59.4
BowieK66,0,22,0,0,False,1,True,True,1,64115790.0,0.62,32.0
ducknoteprice,3,0,4,0,False,1050,True,False,1,144554387.0,0.45,66.0
robotrecipes,1095,13,107,0,False,10926,False,False,1,120533731.0,0.3,100.76
everyumlaut,21,0,12,0,False,65994,True,False,1,121171107.0,0.74,11.79
glossatory,30,1,8,0,False,7423,False,False,1,90617550.0,0.37,81.55
Fancypants6047,44,399,0,20,False,29,True,False,1,69223203.0,0.29,121.76
Hedgehogize,443,324,11,11,False,4673,False,False,1,149143204.0,0.45,79.25
jamieph93986621,1,0,0,0,False,11,True,False,1,66083411.0,0.49,53.64
NothemDonella,0,0,4,51,False,113,True,False,1,68027180.0,0.34,116.25
pony_strategies,104,3,22,0,False,16607,True,False,1,168121403.0,0.48,59.5
imgconvos,537,14,97,0,False,5234,False,False,1,137300126.0,0.43,74.03
StobbeKindra,0,0,0,71,False,117,True,False,1,67587034.0,0.32,119.14
cgagraphics,1191,11,120,4,False,72094,False,False,1,152312677.0,0.69,35.11
TheYearofLuigi,452,11,50,5,False,46031,True,False,1,177110893.0,0.38,81.46
litpatches_txt,2215,0,72,27,False,4988,False,False,1,119732938.0,0.34,83.91
everysimile,624,4,75,0,False,132711,True,False,1,151396440.0,0.5,26.16
DrPhilRx,48,1,9,0,False,1206,True,False,1,147841850.0,0.46,65.97
libraryofemoji,388,0,59,0,False,13553,True,False,1,150182151.0,0.65,22.93
wrap_papers,673,829,14,4197,False,17580,True,False,1,278597373.0,0.27,152.25
BloombrgNewsish,633,4,48,96,False,15035,False,False,1,213076581.0,0.45,78.47
OliverBarkBark,791,20,29,7,False,3421,True,False,1,118331515.0,0.47,28.39
jargotron,40,5,12,3,False,2396,True,False,1,168740931.0,0.38,75.89
Games4Grownups,20,0,7,0,False,50,True,False,1,166943732.0,0.31,74.24
Lowpolybot,5440,56,368,15,False,534127,False,False,1,138182644.0,0.38,86.86
2blessed_exe,22,0,8,0,False,15270,True,False,1,93419957.0,0.43,27.66
poem_exe,20015,29,615,0,False,21529,False,False,1,150253453.0,0.39,47.85
HigherEdSurge,18274,15236,686,1311,False,19024,True,False,1,99544035.0,0.25,172.48
myah581,464,909,0,251,False,18933,False,False,1,133597329.0,0.4,104.77
starnearyou,108,1,34,0,False,3466,False,False,1,137753527.0,0.76,23.0
wayback_exe,11047,1,276,0,False,14605,True,False,1,110363728.0,0.38,110.76
OldLSystemBot,10,0,2,0,False,8302,False,False,1,67233874.0,0.33,114.44
low_battery_tho,35,34,8,0,False,9,True,False,1,140045618.0,0.55,34.44
WonderWoman0716,8,215,0,2,False,7,True,False,1,64215038.0,0.38,92.29
faq_walkthrough,468,1,19,0,False,281,True,False,1,168075993.0,0.35,80.04
AutoNetflix,298,62,37,0,False,11557,True,False,1,139796787.0,0.47,52.75
FeinmanAltha,0,0,0,45,False,91,True,False,1,65824783.0,0.34,113.88
VoynichTechNews,85,0,27,0,False,11721,True,False,1,173080870.0,0.37,81.84
ButtlawMcButt,15,3,9,0,False,1456,True,False,1,158743941.0,0.44,57.55
GilgameshTweets,2871,1,34,2313,False,5292,False,False,1,75199687.0,0.27,114.08
dronesweetie,536,30,57,5,False,2370,True,False,1,123048666.0,0.38,46.51
PenryParmelee,0,0,1,35,False,74,True,False,1,74420433.0,0.34,112.75
bookonbalcony,18,0,9,0,False,1344,True,False,1,90421829.0,0.57,50.34
SuperbOwl3000,14,1,5,1,False,2001,True,False,1,169116969.0,0.24,100.77
ARealRiver,232,0,65,0,False,39914,True,False,1,141378801.0,0.05,134.81
tiny_astro_naut,16359,2,375,11859,False,16239,False,False,1,144765535.0,0.28,107.8
ljw269,81,565,2,193,False,149,True,True,1,67210143.0,0.39,99.17
epigen_papers,3743,1,94,5,False,40140,False,False,1,152384562.0,0.29,133.35
tardygram,36,1,2,1,False,303,True,False,1,115572475.0,0.61,53.87
SharksOnCouches,872,2268,19,119316,False,19316,True,False,1,241489136.0,0.35,102.89
adventvrecall,214,43,24,55,False,1993,False,False,1,146399049.0,0.35,104.94
greatartbot,4825,0,282,0,False,6772,False,False,1,168067129.0,0.76,23.0
dtufreak,44,0,1,1,False,15,False,False,1,173778564.0,0.42,93.17
bot_things,147,5,23,5,False,3497,False,False,1,150812006.0,0.81,13.08
MuzeumBot,223,0,38,0,False,1063,True,False,1,151974082.0,0.51,63.83
fantasy_florist,371,10,46,2,False,40171,False,False,1,143526509.0,0.3,98.48
hypoxiapapers,519,0,34,1,False,23868,False,False,1,147528897.0,0.27,141.56
netflixtaglines,63,0,18,0,False,145461,True,False,1,154767401.0,0.39,59.95
MythologyBot,12633,7,395,70,False,12166,False,False,1,137983136.0,0.51,47.59
THMarcella,11,16,0,17,False,5,True,False,1,143437617.0,0.38,60.0
themetgallery,167,1,18,8,False,737,False,False,1,66637529.0,0.34,128.31
FFD8FFDB,4441,0,250,1,False,76237,False,False,1,136878830.0,0.78,34.21
wz77,20,0,16,0,False,42455,True,False,1,170642970.0,0.42,57.41
scell_papers,3841,31,68,0,False,2430,False,False,1,128142185.0,0.3,119.26
WizardGenerator,187,0,36,52,False,8629,True,False,1,93345113.0,0.48,69.28
bouquetbot,125,0,17,0,False,3006,True,False,1,129709466.0,0.68,34.23
astronaut_bot,12,0,9,1,False,40,True,False,1,75298065.0,0.42,62.42
censusAmericans,11436,0,319,0,False,31375,False,False,1,119183706.0,0.22,129.01
isu_bot2_fs,1709,43,86,5,False,393,False,False,1,269857207.0,0.4,101.01
HaikuMurakami,83,0,5,6,False,8372,False,False,1,123048971.0,0.29,66.91
Clippy_exe,83,29,13,0,False,222,True,False,1,87557655.0,0.76,23.0
fullmetaliberty,710,800,47,815,False,3084,False,False,1,136957260.0,0.3,143.41
cancerSL,186,2,5,0,False,1222,True,False,1,160050441.0,0.3,122.5
phylogeo_papers,433,0,12,0,False,2772,True,False,1,160215345.0,0.26,142.97
asdfghjkl0l2,851,1930,4,2678,False,13466,False,False,1,234990036.0,0.37,83.6
sexyeveryword,57,0,18,0,False,886,True,False,1,142242996.0,0.66,36.48
kanyejordan,2600,3,133,0,False,708,True,False,1,268050819.0,0.44,76.47
someboxes,11,0,8,0,False,28093,False,False,1,101693281.0,0.76,23.0
mlegoudes262,55,1030,0,2,False,5,True,False,1,261715798.0,0.52,37.0
coolbot420,260,16,29,0,False,33589,False,False,1,142306989.0,0.65,25.06
topbiopapers,402,2,23,2,False,5660,False,False,1,239970049.0,0.33,116.3
bionet_papers,130,0,21,0,False,6905,True,True,1,158995782.0,0.29,140.03
pizzaclones,130,0,37,0,False,23063,True,False,1,171167138.0,0.32,63.71
DistractedGenie,158,1,40,0,False,5521,True,False,1,153799338.0,0.38,89.75
space_stories,941,49,78,91,False,5556,True,False,1,117814528.0,0.22,122.36
CantorLogical,2,1,1,0,False,1360,True,False,1,159853374.0,0.29,87.28
sg_ebooks,74,5,9,0,False,5583,True,False,1,149293720.0,0.47,49.74
scientificpaper,303,4,13,0,False,112538,True,True,1,157279920.0,0.23,130.0
biorxiv_genomic,4064,0,99,0,False,2784,True,False,1,87023570.0,0.27,141.74
thedismalblog,14,267,2,2,False,18,True,False,1,65888910.0,0.38,104.35
ahouseofdust,209,42,31,13,False,28680,False,False,1,106123045.0,0.2,103.7
NY_Now,32687,17399,871,0,False,191854,False,False,1,296284717.0,0.34,128.31
_LostBuoy_,269,37,45,0,False,11822,True,False,1,170853583.0,0.31,100.66
spear_one,8,45,0,7,False,5,True,False,1,219138568.0,0.72,34.0
kordeidangerouz,5063,3972,32,4534,False,76354,False,False,1,112243942.0,0.37,93.76
andrewhuangbot,339,1,5,1,False,10814,False,False,1,78355025.0,0.42,47.91
AllTheCheeses,1157,1744,65,0,False,18265,False,False,1,310577762.0,0.31,124.74
fly_papers,2859,0,44,108,False,22061,True,False,1,191909101.0,0.3,121.55
Suarez06356267,0,21,0,0,False,1,True,True,1,64227691.0,0.62,26.0
Eyescaler,56,0,16,0,False,1494,True,False,1,156471319.0,0.62,40.59
AllOilPainting,4319,0,78,0,False,1223,False,False,1,310272264.0,0.4,91.84
SmoothUnicode,637,1,69,0,False,43373,True,False,1,173096822.0,0.48,93.53
CultEvoBot,388,446,22,41,False,6320,True,False,1,171994320.0,0.48,72.66
helpmeetgoal,110,1660,0,7,False,18,True,True,1,129089414.0,0.45,71.5
chinesphere,0,48,0,0,False,19,True,True,1,84407732.0,0.27,140.32
xbangtan1,89,0,0,1,False,5,True,False,1,85764208.0,0.56,44.4
eachtown,146,0,28,0,False,138602,False,False,1,173931639.0,0.64,43.1
NixieBot,1723,5,71,13,False,57272,False,False,1,122281259.0,0.47,67.72
Zzt_ebooks,135,0,19,0,False,2072,True,False,1,176199546.0,0.44,60.17
angelia_irr,0,0,0,84,False,148,True,False,1,66386634.0,0.33,119.97
NaiveAnswers,35,0,13,0,False,673,True,False,1,148510217.0,0.4,71.97
biofilmPapers,963,64,37,17,False,14232,True,False,1,133233046.0,0.26,141.97
baeksehuniie,1276,4384,0,87,False,104,True,False,1,95882030.0,0.48,74.29
TwoHeadlines,8284,1,442,7,False,36586,True,False,1,175944010.0,0.38,70.36
sponge_papers,91,0,9,0,False,1486,True,True,1,143224853.0,0.29,139.62
CitiBikeDocks,23,5,27,1,False,112726,True,False,1,113891889.0,0.31,126.57
likeuberbut,2302,1,100,2,False,11047,False,False,1,130268997.0,0.57,34.85
vox_ebooks,336,0,17,0,False,5103,True,False,1,146301484.0,0.38,64.87
synbio_papers,741,25,28,0,False,7069,False,False,1,128251394.0,0.26,175.17
nice_tips_bot,4670,0,189,0,False,31751,False,False,1,139477348.0,0.26,96.73
quantifiedinky,9,1,7,0,False,258,False,False,1,148187540.0,0.81,10.92
ididmorepushups,6573,1,16,44,False,123,True,False,1,132381483.0,0.38,79.42
assignments_txt,186,0,30,0,False,2497,False,False,1,148044024.0,0.5,34.47
BotMtGFlavor,44,1,10,0,False,2610,True,False,1,166533059.0,0.35,101.22
DSWalsh6,5,24,0,7,False,22,True,True,1,72718185.0,0.62,43.41
XsGonnaX,14,5,5,0,False,10693,False,False,1,168561811.0,0.5,22.14
Fact,1921691,1,7537,108,False,621783,False,False,1,378582637.0,0.33,90.22
reverseocr,2225,1,230,0,False,4657,True,False,1,146476444.0,0.72,30.73
colorschemez,54898,0,547,7,False,36092,False,False,1,128554330.0,0.34,87.06
menubot,624,46,48,3,False,6789,False,False,1,107149887.0,0.39,109.18
BioCodePapers,280,0,26,0,False,3444,True,False,1,130319458.0,0.31,113.27
gorillacities,22,0,8,0,False,5131,False,False,1,148700790.0,0.76,23.0
JpTeixeira01,13,63,0,0,False,7,True,False,1,198552331.0,0.42,45.29
CRISPR_papers,2292,0,59,0,False,3033,True,False,1,143745379.0,0.32,117.32
TrevisanOlympia,0,0,0,70,False,117,True,False,1,66220675.0,0.3,123.04
not_a_cop_bot,293,0,20,0,False,7260,False,False,1,120862672.0,0.3,103.67
MltplSclppr,255,1,23,0,False,23650,False,False,1,121769294.0,0.27,134.64
theDesireBot,129,1,25,8,False,64193,False,False,1,132099716.0,0.38,90.94
VillanelleBot,106,1,21,230,False,10173,True,False,1,114988519.0,0.5,67.08
